day,transformer,district,SAIFI
2023-06-29,208,Dansoman,0.0
2023-06-29,330,Kaneshie,0.3333333333333333
2023-06-30,324,Kaneshie,0.0
2023-06-30,441,Mampong,0.0
2023-07-01,51,Achimota,1.0034843205574913
2023-07-02,438,Mampong,0.0
2023-07-02,norc835,Achimota,0.0
2023-07-05,222,Dansoman,1.000868809730669
2023-07-05,407,Mampong,2.0069686411149825
2023-07-05,62,Achimota,0.0
2023-07-06,325,Kaneshie,0.0
2023-07-07,211,Dansoman,0.0
2023-07-07,86,Achimota,1.0
2023-07-07,9,Achimota,2.0
2023-07-07,norc104,Dansoman,0.0
2023-07-07,norc469,Kaneshie,0.0
2023-07-09,205,Dansoman,0.0
2023-07-09,442,Mampong,0.0
2023-07-09,92,Achimota,0.0
2023-07-10,211,Dansoman,0.0
2023-07-10,328,Kaneshie,0.0
2023-07-10,422,Mampong,0.0
2023-07-10,443,Mampong,0.7700534759358288
2023-07-10,73,Achimota,0.0
2023-07-10,92,Achimota,0.0
2023-07-11,18,Achimota,1.3473684210526315
2023-07-11,207,Dansoman,0.5
2023-07-11,435,Mampong,2.0
2023-07-11,454,Mampong,2.0
2023-07-11,norc377,Kaneshie,0.0
2023-07-11,norc442,Kaneshie,0.0
2023-07-12,228,Dansoman,0.0
2023-07-12,426,Mampong,0.0
2023-07-13,438,Mampong,0.0
2023-07-13,456,Mampong,0.0
2023-07-13,84,Achimota,0.0
2023-07-14,210,Dansoman,0.3333333333333333
2023-07-14,230,Dansoman,0.0
2023-07-14,55,Achimota,0.0
2023-07-14,80,Achimota,0.3333333333333333
2023-07-14,norc934,Achimota,0.0
2023-07-15,18,Achimota,0.0
2023-07-15,8,Achimota,0.49484536082474223
2023-07-15,94,Achimota,0.0
2023-07-15,norc331,Kaneshie,0.0
2023-07-16,441,Mampong,1.0
2023-07-17,437,Mampong,0.0
2023-07-17,norc332,Kaneshie,0.0
2023-07-17,norc438,Kaneshie,0.0
2023-07-18,2,Achimota,0.0
2023-07-18,311,Kaneshie,0.0
2023-07-18,410,Mampong,1.0
2023-07-18,94,Achimota,0.0
2023-07-18,97,Achimota,0.0
2023-07-19,norc606,Achimota,0.0
2023-07-20,454,Mampong,0.0
2023-07-21,235,Dansoman,0.0
2023-07-21,norc146,Dansoman,0.0
2023-07-22,409,Mampong,0.0
2023-07-22,454,Mampong,0.0
2023-07-22,456,Mampong,0.0
2023-07-23,202,Dansoman,0.0
2023-07-23,238,Dansoman,0.0
2023-07-23,423,Mampong,0.5
2023-07-23,442,Mampong,0.0
2023-07-24,424,Mampong,0.7519582245430809
2023-07-24,norc442,Kaneshie,0.0
2023-07-24,norc519,Achimota,0.0
2023-07-25,226,Dansoman,0.0
2023-07-25,31,Achimota,0.6666666666666666
2023-07-25,317,Kaneshie,0.5008695652173913
2023-07-26,303,Kaneshie,0.0
2023-07-26,304,Kaneshie,0.0
2023-07-26,411,Mampong,0.0
2023-07-26,60,Achimota,0.0
2023-07-26,norc331,Kaneshie,0.0
2023-07-27,17,Achimota,0.0
2023-07-27,norc877,Achimota,0.0
2023-07-28,305,Kaneshie,0.0
2023-07-28,316,Kaneshie,0.3333333333333333
2023-07-28,75,Achimota,0.0
2023-07-29,2,Achimota,0.0
2023-07-29,229,Dansoman,0.0
2023-07-29,36,Achimota,0.0
2023-07-29,norc172,Dansoman,0.25
2023-07-29,norc225,Kaneshie,0.0
